id,about,sector
36,"Founded in 1982 by John Duhy, Alert Engineering is one of Ireland's best known makers of quality staircases, fire escapes, attic access and balustrading We are also Ireland's sole supplier of JOMY fire-escapes. Make a great first impression with an Alert Staircase of distinction. Stair makeovers are also available. Please view our range below or call us today on (01) 4519299 for more information. If you would like to arrange a free site survey click here",engineering
37,"Alexander (Plant) Ltd is an integral part of the Alexander Group of companies which have been in business since 1972. Our head office is located in Omagh, Co Tyrone and we work throughout the UK and Ireland. We specialise in both operated and self drive plant hire, with machines ranging from 1 Ton through to 50 Tonnes. We also cater specifically for the Low Ground Pressure market and have a number of operated 'Bogmaster' machines available. All our machinery is independently certified. Our drivers are also fully qualified with the relevant certification and experience and we pride ourselves in having an excellent record in terms of all aspects of Health & Safety and Environmental responsibilities. It has been part of our investment strategy to not only keep the plant we have well maintained but also utilise the latest technological advancements available on the market. This being the case, we offer the latest reporting options in terms of : - Machine Location- Engine work time - Engine idle time- Fuel consumption - Load levels and information- Attachment usage We also operate a fully qualified service team which ensures that the equipment's 'uptime' is kept to a maximum. We utilise our own Low Loader haulage service which allows for quick mobilisation to and from sites and we can also provide external haulage as and when requested. All our plant hire is hired under CPA model conditions.",construction
38,"We thrive on product solving and sourcing unusual, innovative solutions in a reliable and dependable manner. If we can't get it, it simply can't be found. We are the hidden, but vital component in your production process, ensuring you have the best parts for the best in efficacy. More than 55 years ago, we started suplying components to some of Ireland's greatest manufacturers and we have been perfecting our supply chain ever since. Today, through our international supply network, we know everything there is to know about component parts and where to source them. As we unveil our new look, we thank you for your on-going support and look forward to our next chapter as your vital partner.",engineering
39,"Mission Statement- Providing a high quality, professional Fire Safety Consultancy Service to ensure our clients are fully compliant with current legislation, to protect premises and people. I have spent nearly 19 years working in the health and safety sector before branching out on my own early in 2015. My business, All Fire Protection is based in Donaghcloney, Co Armagh, just a short 30 minute drive from Belfast and 20 minutes from Newry. I offer a number of fire safety training services to companies and organisations throughout Northern Ireland, as well as selling and servicing fire safety products for homes, properties and businesses.",industry
40,"With our head office in south Dublin we also have storage depots in North Dublin, Cork, Waterford, Limerick, Drogheda and Galway. We have continued to grow and in 2019 we delivered in excess of 100 million items to homes in cities, towns and villages throughout Ireland. Our mission is to be the best in class for our clients Design, Print and Distribution requirements at a local and nationwide level. Our goal is to work closely with every client to ensure they get the best possible return from every campaign.",print
41,"We are a family run business located in the Whitestown Business Park, just minutes form the Square Shopping Center in Tallaght. We specialize in the supply of workwear, personal protective equipment, safety footwear, hardware goods and leisurewear. We stock some of best brands known in the industry including Portwest, Dickies, Result, Regatta, Mascot and many more. Our wide rang of hardware consists of everything from masking tape to power tools.",print
42,"At Allied Graphics and Equipment we supply wide format printing, pre-press, print finishing equipment and consumables from a range of leading manufacturers. Over the past 31 years Allied Graphics and Equipment have built up strong relationships with all the manufacturers we represent. We pride ourselves on being a Northern Ireland based company that can offer a complete local service on everything we sell. HISTORY Allied Graphics and Equipment was established as a limited company in 1984 by Thomas and Norah Blair and is still a family run business 31 years later. In April 2000 we purchased Walter Nash (Belfast) and moved both business into a purpose built 515m2 premises at Carryduff. We have 5 members of staff and see our growth for the future coming from the sales and service side of our business. Allied Graphics and Equipment focus has always been to offer full technical support on all the equipment and consumables we sell.",print
43,"Allmetal Fasteners have over 50 years experience and have fast become one of Irelands leading suppliers of industrial fasteners. Suppling both standard & non standard fasteners, we offer a 24hr nationwide distribution throughout Dublin and Ireland. At Allmetal fasteners, our Industrial Fasteners products include non-standard fasteners including miniature screws, security screws, Helical screws as well as custom building special Industrial fastener to customers' own drawings. If you would like to enquire about a solution for any type of Industrial Fastener, please contact us today on +353 (0)1 864 3080 or click here to submit an enquiry",engineering
44,"Based in Dun Laoghaire, Co. Dublin, Alphabet provides traditional offset and digital printing to provide a range of print solutions for businesses, large and small. Our skills and industry experience make us a great fit for many types of print requirements. Whether you need a small run of promotional postcards or a full scale graphic identity launch, together we will determine the best way to realise your objectives. As a combined printing and design company, Alphabet offers unsurpassed attention to detail. We take as much care in creating 100 business cards as we do in producing a promotional brochure or annual report.",print
45,"Amber Display LTD has been providing display signs throughout Dublin and all over Ireland for since 2004. We stock a wide variety sign products and services to suit your needs. We can design and make everything from Plaques, Light-boxes, Window Graphics, Commercial Vehicle Graphics, Commemorative Plaques, Nameplates, UV Solar Films, Pavement Signs, PVC Banners, Safety signs, Exhibition Stands, Pop Up Banners and a whole lot more. If you can't find signage you're looking for here, please contact us at info@amberdisplay.ie or Call us 018861755 As the leading Irish sign maker, we can provide many references from satisfied customers our clients. Contact us today!",print
46,"AMCA was established in 2002 and is a privately held company based in the United Kingdom. AMCA has been providing specialist engineering CAD services to the Construction Industry and Associated Professions for over 10 years. Our business has grown successfully through our commitment to our clients and our continued investment in technology and people. Today we offer a cutting edge Building Information Modelling (BIM) service to our clients globally. Using BIM, we have successfully completed projects worldwide as well as the UK and Ireland. Our experience includes, but is not limited to: Commercial, Industrial, Health, Mining and Education sectors ranging from small to large scale projects, as can be seen on our Projects page. We use a combination of the latest 3D modelling software to provide high end, intelligent and data rich building models. We firmly believe in working in partnership with our clients and project design teams. We have built longstanding relationships with our clients through continually exceeding their expectations. We take pride in the fact that our clients return to us time and again. What We Do AMCA are a specialist structural BIM consultancy that works with a wide variety of clients across the construction industry, using innovative technology to improve the process of design and construction. We are an independent member of the design or construction team, working with Building Information Modelling (BIM) processes to realise efficiencies, increase co-ordination and minimise risk and waste for our clients. How We Do It We use technology to create an intelligent 3D structural model, and then leverage the information out to bring benefits to all parties involved in the construction process. Through our innovation, and impartial nature, we are able to bring to bear the expertise of a diverse team with a wide skill set. This enhances the value of the design as a whole, and all parties benefit from the reduction in waste, risk, time, errors, re-working and co-ordination issues.",engineering
47,"AML Automation (Ireland) Ltd. is Ireland's premier specialist company in the design and distribution of low voltage electrical busbar trunking for all applications including rising mains, feeder from transformer to main board and normal distribution either plug in or fixed tap offs. We also manufacture custom built process control panels and distribution boards for both indoor and outdoor applications.",electrical
48,"Established in 1992, Anchor Bay Construction Accessories are a leading supplier of specialist quality construction products in Ireland, supplying the construction, civil and precast industries. We are forefront in the introduction of new products and technologies, always on the leading edge of industry requirements. Our professional dedicated sales team have a unique level of expertise to assist you. Proud distributors of leading brands such as Ancon, Fosroc, Halfen, Kilsaran, K-Form, Lanxess, Leviat, Nevoga, Opus Construction Products, Rawl, Sika, Visqueen, plus many more.",construction
49,"Anchor Engineering was established in 2002 to distribute bearing and power transmission products to the UK and Irish markets. Since our formation we have become one of the largest independent stockists of bearing and Pt products in the country. We have access to the stock and expertise of SKF the world leader in bearing manufacture and technology as well as that we offer Cooper Split roller bearings and a wide range of other top brands. This enables us to offer customers a top class service with the very best in quality and delivery. Through a top class logistics network we can ship stock items for a next day delivery anywhere in Ireland, taking orders for despatch up to 5pm each day.",engineering
50,"Anvil Manufacturing Engineering Ltd is an Engineering Company established in Dublin in 1972. We provide high standard quality finished products to a wide variety of Clients. Our drive to provide high standards has led us over time to achieve an ISO Accreditation which we have had since 2010. To give our customers the best of service, we have over the years invested heavily in machinery and skilled tradesmen who manufacture a wide variety of products in our workshop.",engineering
51,"Welcome to Apex Attics With over 20 years experience in quality loft conversions and in the construction industry with Apex Plastering, Apex Attics can deliver your ideal loft conversion, extension or renovation to the highest of standards on a budget that works for you. All of our tradesmen, carpenters, plumbers, electricians and plasterers are fully qualified and have a vast experience of projects of all sizes with no job too small to consider. We can take care of the whole process from the initial home visit to the design and planning, we offer you a custom and affordable conversion complete with final craftsmanship created bespoke furniture if required.",construction
52,"Apex is based in Newry, Co Down. We are a multi-talented company with lots of creative flair and fresh logical ideas. Whatever the size of your project we have the capability to handle it all in-house. Creative design, Branding, Printing, Signage and Displays. We cover it all.",print
53,"Starting my journey in the sign industry over 30 years ago in a Neon Sign company and working with other sign manufacturers I have experience across the many different type and styles of signage, leading me to start my own company now 22 years in business, Apex Signs ours is a number you really should keep on your phone... Established in 1997, then based in Tallaght, Dublin 24 and since moving to Citywest, Saggart Co. Dublin, Apex Signs offers a full nationwide service to a wide range of Irish industry commercial & retail sectors. We pride ourselves on our satisfied & repeat clients. Our goal from the start over two decades ago was to offer superior quality yet competitively priced branding and signage solutions to our customers allowing them to effectively promote their business, product or service. Making good use of extensive knowledge and experience in the sign and display industry we can make signage incorporating traditional and modern skills and technology which helps our customers to promote and build brand awareness. At Apex Signs we excel towards meeting the needs of our clients - from design, production & installation of custom made bespoke signs & products. We guarantee a friendly, personal and professional service. A well-produced sign catches the eye of passers-by and is the best value advertisement investment you can make to boost your business.",print
54,"Aqua Fire Prevention is an Irish owned specialist fire safety company. Established in 1986, we have over 35 years of experience in the fire extinguisher and fire equipment industry. We have a client base of over 3,000 valued customers' countrywide, across every business type. We have a great team of qualified professional technicians with years of experience in the fire extinguisher business. We would be delighted to hear from you and help in any way we can. Our company's main business includes the supply and installation of fire extinguishers, annual service and maintenance of fire extinguishers & equipment, fire and safety signage and the provision of comprehensive fire safety training services. According to Brendan Mooney, MD of Aqua Fire Prevention, ""Over the last 15 years, Ireland has become a dumping ground for poor quality fire extinguishers from the Far East. The quality is so bad that some of these extinguishers failed to work, or would leak their contents and/or lose pressure, rendering them useless in a fire emergency.""",industry
55,"We specialise in the provisioning of superior quality welding products at competitive prices. We are Ireland's national distributor for major international brands including OERLIKON, SIDERGAS, MAGMAWELD, VOESTALPINE CHEMICALS (Avesta), WELDLINE, OXFORD and ALBEE.",engineering
